               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.024807,            0.014248,           0.0027725,             0.94978,             0.94588,             0.96739,             0.68591,            0.019002,           0.0084694,           0.0005744,               0.006,               0.006,               0.006
                  52,             0.02459,            0.013925,           0.0028422,             0.95941,             0.94053,             0.96881,             0.69307,            0.018925,           0.0084678,          0.00053963,           0.0058744,           0.0058744,           0.0058744
                  53,            0.024624,            0.014155,           0.0028793,             0.95193,             0.95018,               0.969,             0.68332,             0.01869,           0.0084442,          0.00057307,           0.0057488,           0.0057488,           0.0057488
                  54,            0.024196,            0.013747,           0.0027604,             0.97742,             0.94288,             0.97681,              0.6993,            0.018437,           0.0083459,          0.00045516,           0.0056236,           0.0056236,           0.0056236
                  55,            0.024067,            0.013825,           0.0026662,             0.96713,             0.95168,             0.97415,             0.70367,            0.018356,           0.0082693,          0.00047656,           0.0054987,           0.0054987,           0.0054987
                  56,            0.023873,            0.013672,            0.002596,             0.96892,             0.95264,             0.97733,             0.70065,            0.018218,           0.0082758,          0.00044139,           0.0053743,           0.0053743,           0.0053743
                  57,            0.023553,            0.013349,           0.0024626,              0.9755,             0.95592,             0.97935,             0.71542,            0.017989,           0.0081804,          0.00041875,           0.0052505,           0.0052505,           0.0052505
                  58,            0.023369,            0.013568,           0.0023229,             0.97421,             0.95183,             0.97859,             0.71869,            0.017803,           0.0080911,          0.00036793,           0.0051274,           0.0051274,           0.0051274
                  59,             0.02326,             0.01341,           0.0024847,             0.97451,             0.94667,             0.97846,             0.71586,            0.017748,           0.0080688,          0.00042165,           0.0050052,           0.0050052,           0.0050052
                  60,            0.022813,            0.013136,           0.0021737,             0.96097,             0.96666,             0.97888,             0.72199,             0.01739,           0.0079367,          0.00037223,            0.004884,            0.004884,            0.004884
                  61,            0.022672,            0.012906,           0.0021323,             0.97166,             0.96633,             0.98115,             0.72952,            0.017232,            0.007836,          0.00031051,           0.0047639,           0.0047639,           0.0047639
                  62,            0.022694,            0.013054,           0.0020214,             0.96334,             0.97171,             0.98114,             0.73437,            0.017065,           0.0078123,          0.00029193,            0.004645,            0.004645,            0.004645
                  63,            0.022639,             0.01313,           0.0020697,             0.97111,             0.96142,             0.97971,             0.73361,            0.016945,           0.0077523,          0.00030512,           0.0045275,           0.0045275,           0.0045275
                  64,            0.022422,            0.013094,           0.0020603,              0.9694,             0.96665,             0.98086,             0.74285,            0.016695,            0.007691,          0.00025688,           0.0044114,           0.0044114,           0.0044114
                  65,            0.022106,            0.012995,           0.0020104,             0.97575,             0.96638,             0.98232,             0.74385,            0.016558,           0.0076301,          0.00025338,           0.0042969,           0.0042969,           0.0042969
                  66,              0.0221,            0.012887,           0.0020829,             0.97261,             0.96593,             0.98169,              0.7463,            0.016499,           0.0075738,          0.00024862,            0.004184,            0.004184,            0.004184
                  67,            0.021408,            0.012734,           0.0019205,              0.9739,             0.96799,             0.98164,             0.74913,            0.016327,           0.0075222,          0.00022668,            0.004073,            0.004073,            0.004073
                  68,            0.021534,             0.01257,            0.001786,             0.96984,             0.97434,             0.98161,             0.75167,            0.016137,           0.0074403,          0.00024056,           0.0039638,           0.0039638,           0.0039638
                  69,            0.021549,            0.012607,           0.0017596,             0.97862,             0.96899,             0.98268,             0.75547,               0.016,           0.0074002,          0.00022699,           0.0038567,           0.0038567,           0.0038567
                  70,            0.021152,            0.012214,           0.0016715,             0.97898,             0.96903,             0.98158,             0.76037,            0.015784,           0.0073401,          0.00022364,           0.0037517,           0.0037517,           0.0037517
                  71,            0.020907,            0.012308,           0.0018193,             0.97479,             0.97486,             0.98126,             0.76364,            0.015542,           0.0072535,          0.00018939,           0.0036489,           0.0036489,           0.0036489
                  72,            0.021067,            0.012562,           0.0018924,             0.97595,             0.97422,             0.98306,             0.76278,            0.015546,            0.007208,          0.00018461,           0.0035484,           0.0035484,           0.0035484
                  73,             0.02117,            0.012291,           0.0017394,             0.98472,             0.97126,             0.98389,             0.76905,            0.015412,           0.0071938,          0.00016431,           0.0034503,           0.0034503,           0.0034503
                  74,            0.020718,             0.01198,           0.0016366,             0.98004,             0.97142,             0.98459,             0.77195,            0.015226,            0.007155,          0.00016119,           0.0033548,           0.0033548,           0.0033548
                  75,            0.020486,             0.01208,           0.0015827,             0.98137,             0.97376,             0.98444,             0.77807,            0.015087,           0.0070893,          0.00015768,           0.0032618,           0.0032618,           0.0032618
                  76,            0.020133,            0.011759,           0.0015667,              0.9798,             0.97688,             0.98426,             0.77993,            0.014976,           0.0070217,          0.00016246,           0.0031716,           0.0031716,           0.0031716
                  77,            0.020085,            0.011911,             0.00146,              0.9818,             0.97381,             0.98547,             0.78476,            0.014793,             0.00696,          0.00015388,           0.0030841,           0.0030841,           0.0030841
                  78,            0.019943,            0.011759,           0.0013962,             0.98013,             0.97293,             0.98519,             0.78617,             0.01456,            0.006877,          0.00013225,           0.0029996,           0.0029996,           0.0029996
                  79,            0.019916,             0.01162,           0.0014416,             0.98497,             0.97328,             0.98545,             0.78679,            0.014449,           0.0068377,          0.00011237,           0.0029179,           0.0029179,           0.0029179
                  80,            0.019781,            0.011478,           0.0015002,             0.98689,             0.97101,             0.98509,             0.78771,            0.014366,           0.0068076,          0.00011877,           0.0028394,           0.0028394,           0.0028394
                  81,            0.019328,            0.011481,           0.0014009,             0.98652,             0.97449,              0.9851,             0.79327,            0.014224,           0.0067377,          0.00011444,           0.0027639,           0.0027639,           0.0027639
                  82,            0.019521,            0.011345,            0.001425,             0.98633,             0.97329,             0.98642,             0.79434,            0.014118,           0.0066944,          0.00010718,           0.0026917,           0.0026917,           0.0026917
                  83,            0.019293,            0.011505,           0.0013242,             0.99002,             0.97371,              0.9867,             0.79697,            0.014018,           0.0066403,          9.8513e-05,           0.0026227,           0.0026227,           0.0026227
                  84,            0.019095,            0.011358,           0.0012435,             0.99255,             0.97281,             0.98686,             0.79979,            0.013876,           0.0066056,          9.6422e-05,            0.002557,            0.002557,            0.002557
                  85,            0.018988,             0.01117,           0.0014477,             0.98585,              0.9754,             0.98683,             0.80377,            0.013752,           0.0065583,          9.6457e-05,           0.0024948,           0.0024948,           0.0024948
                  86,            0.019137,            0.011541,           0.0014548,             0.98844,              0.9738,             0.98694,             0.80231,            0.013685,           0.0065265,          0.00010092,            0.002436,            0.002436,            0.002436
                  87,            0.018951,            0.011293,           0.0013406,             0.98624,             0.97512,             0.98705,             0.80535,            0.013586,           0.0064851,          0.00010375,           0.0023807,           0.0023807,           0.0023807
                  88,            0.018727,            0.011394,           0.0012241,             0.98275,             0.98027,              0.9873,             0.80525,            0.013462,           0.0064377,          9.9923e-05,            0.002329,            0.002329,            0.002329
                  89,            0.018299,            0.010967,           0.0011947,              0.9856,             0.97687,             0.98752,             0.80826,            0.013355,           0.0063963,          9.8399e-05,           0.0022809,           0.0022809,           0.0022809
                  90,            0.018423,            0.011029,           0.0012003,             0.98442,             0.97877,             0.98729,             0.81053,            0.013222,           0.0063612,          9.3536e-05,           0.0022365,           0.0022365,           0.0022365
                  91,            0.018152,            0.010945,           0.0011819,             0.98796,             0.97544,             0.98748,             0.81364,            0.013119,           0.0063231,          8.5886e-05,           0.0021958,           0.0021958,           0.0021958
                  92,            0.017897,            0.010863,           0.0011971,             0.99005,              0.9758,             0.98757,             0.81584,            0.012998,           0.0062745,          8.8865e-05,           0.0021588,           0.0021588,           0.0021588
                  93,            0.017836,            0.010726,           0.0011347,             0.98983,             0.97696,             0.98751,              0.8198,            0.012884,           0.0062268,          8.5946e-05,           0.0021257,           0.0021257,           0.0021257
                  94,            0.018402,            0.010945,           0.0014679,              0.9901,             0.97694,             0.98776,             0.82113,            0.012816,           0.0061955,          8.6102e-05,           0.0020963,           0.0020963,           0.0020963
                  95,            0.018453,            0.011115,           0.0014004,             0.98661,             0.97881,             0.98735,             0.82225,            0.012736,            0.006171,          8.4893e-05,           0.0020709,           0.0020709,           0.0020709
                  96,            0.018508,            0.011195,           0.0013747,             0.98976,             0.97694,             0.98715,             0.82246,            0.012637,            0.006139,          8.0643e-05,           0.0020492,           0.0020492,           0.0020492
                  97,            0.018351,            0.010956,            0.001418,              0.9877,             0.97957,             0.98755,             0.82468,            0.012563,           0.0061146,          7.9487e-05,           0.0020315,           0.0020315,           0.0020315
                  98,            0.018202,            0.010861,           0.0013528,              0.9876,             0.98039,             0.98779,             0.82638,            0.012473,            0.006078,          7.6294e-05,           0.0020178,           0.0020178,           0.0020178
                  99,            0.018042,            0.010749,           0.0014092,             0.98804,             0.97981,             0.98797,             0.82903,            0.012373,           0.0060376,          7.7843e-05,           0.0020079,           0.0020079,           0.0020079
